# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 209.17871999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[8,11]	1.066 	3.999E-4 	-	0.799	1.000	1.000	267	0	8	11
R0[8,12]	1.039 	3.814E-4 	-	0.797	1.000	1.000	268	0	8	12
R0[8,13]	1.034 	4.248E-4 	-	0.786	1.000	1.000	269	0	8	13
R0[8,14]	1.016 	4.543E-4 	-	0.775	1.000	1.000	270	0	8	14
R0[8,15]	1.050 	4.063E-4 	-	0.765	1.000	1.000	271	0	8	15
R0[8,16]	1.047 	3.571E-4 	-	0.762	1.000	1.000	272	0	8	16
R0[8,17]	1.044 	4.211E-4 	-	0.749	1.000	1.000	273	0	8	17
R0[8,18]	0.831 	4.197E-4 	-	0.698	1.000	1.000	274	0	8	18
R0[8,19]	0.001 	1.206E-2 	gn	-5.947	1.000	1.000	275	0	8	19
R0[8,21]	0.000 	1.042E-2 	gn	0.000	1.000	1.000	277	0	8	21
R0[8,22]	1.307 	2.903E-4 	-	0.676	1.000	1.000	278	0	8	22
R0[8,23]	1.042 	4.052E-4 	-	0.740	1.000	1.000	279	0	8	23
R0[8,24]	0.000 	8.466E-3 	gn	0.000	1.000	1.000	280	0	8	24
R0[8,25]	0.929 	4.086E-4 	-	0.742	1.000	1.000	281	0	8	25
R0[8,26]	0.000 	7.633E-3 	gn	0.000	1.000	1.000	282	0	8	26
R0[9,0]	0.700 	3.295E-6 	n	0.660	1.000	1.000	288	0	9	0
R0[9,1]	0.393 	1.422E-3 	-	1.139	1.000	1.000	289	0	9	1
R0[9,2]	0.752 	4.472E-4 	-	0.955	1.000	1.000	290	0	9	2
R0[9,3]	0.796 	4.906E-4 	-	0.914	1.000	1.000	291	0	9	3
R0[9,4]	0.907 	4.589E-4 	s	0.847	1.000	1.000	292	0	9	4
R0[9,5]	0.726 	5.416E-4 	-	0.391	1.000	1.000	293	0	9	5
