# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_82-062
# Object: omc1_c
# Date: 2016-12-03T08:21:01.970 (MJD: 57725.348740208334)
# Project: 88_0005_82
# Exposure: 29.962799999999998 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 133d29m39.79s 42d43m03.84s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[6,21]	1.094 	1.657E-3 	-	0.652	1.000	1.000	213	0	6	21
R0[6,22]	1.068 	1.773E-3 	-	0.654	1.000	1.000	214	0	6	22
R0[6,23]	1.018 	1.364E-3 	-	0.648	1.000	1.000	215	0	6	23
R0[6,24]	-0.001 	1.454E-2 	gn	28.025	1.000	1.000	216	0	6	24
R0[6,25]	0.973 	2.145E-3 	-	0.648	1.000	1.000	217	0	6	25
R0[6,26]	1.048 	1.669E-3 	-	0.665	1.000	1.000	218	0	6	26
R0[7,0]	0.319 	2.968E-3 	B	0.026	1.000	1.000	224	0	7	0
R0[7,1]	0.386 	2.280E-3 	B	0.021	1.000	1.000	225	0	7	1
R0[7,2]	0.018 	2.717E-2 	gn	0.280	1.000	1.000	226	0	7	2
R0[7,3]	0.665 	8.392E-4 	B	0.026	1.000	1.000	227	0	7	3
R0[7,4]	0.884 	1.027E-3 	B	0.059	1.000	1.000	228	0	7	4
R0[7,5]	1.006 	1.668E-3 	-	0.346	1.000	1.000	229	0	7	5
R0[7,7]	0.952 	2.255E-3 	-	0.615	1.000	1.000	231	0	7	7
R0[7,8]	0.975 	2.280E-3 	-	0.650	1.000	1.000	232	0	7	8
R0[7,9]	1.071 	1.752E-3 	-	0.653	1.000	1.000	233	0	7	9
R0[7,10]	1.178 	1.565E-3 	-	0.654	1.000	1.000	234	0	7	10
R0[7,11]	1.100 	1.354E-3 	-	0.657	1.000	1.000	235	0	7	11
R0[7,12]	1.054 	1.509E-3 	-	0.646	1.000	1.000	236	0	7	12
R0[7,13]	1.069 	1.600E-3 	-	0.630	1.000	1.000	237	0	7	13
R0[7,14]	1.051 	1.422E-3 	-	0.639	1.000	1.000	238	0	7	14
R0[7,15]	1.085 	1.066E-3 	-	0.607	1.000	1.000	239	0	7	15
R0[7,16]	1.331 	1.568E-3 	-	0.530	1.000	1.000	240	0	7	16
R0[7,17]	1.069 	1.392E-3 	-	0.627	1.000	1.000	241	0	7	17
R0[7,18]	1.068 	1.779E-3 	-	0.627	1.000	1.000	242	0	7	18
R0[7,19]	1.065 	1.204E-3 	-	0.622	1.000	1.000	243	0	7	19
R0[7,21]	1.165 	1.771E-3 	-	0.626	1.000	1.000	245	0	7	21
R0[7,22]	1.181 	1.484E-3 	-	0.612	1.000	1.000	246	0	7	22
R0[7,23]	1.037 	1.618E-3 	-	0.639	1.000	1.000	247	0	7	23
R0[7,24]	-0.001 	1.494E-2 	gn	28.678	1.000	1.000	248	0	7	24
R0[7,25]	1.132 	1.661E-3 	-	0.621	1.000	1.000	249	0	7	25
R0[7,26]	1.153 	1.615E-4 	-	0.654	1.000	1.000	250	0	7	26
R0[8,0]	0.001 	1.778E-1 	gn	2.652	1.000	1.000	256	0	8	0
R0[8,1]	0.221 	3.954E-3 	Bg	0.028	1.000	1.000	257	0	8	1
R0[8,2]	0.049 	1.984E-2 	gn	0.124	1.000	1.000	258	0	8	2
R0[8,3]	0.668 	7.389E-4 	B	0.028	1.000	1.000	259	0	8	3
R0[8,4]	0.791 	1.268E-3 	B	0.056	1.000	1.000	260	0	8	4
R0[8,5]	0.038 	9.372E-3 	gn	0.189	1.000	1.000	261	0	8	5
R0[8,7]	0.001 	1.137E-2 	gn	-7.537	1.000	1.000	263	0	8	7
R0[8,8]	0.940 	1.913E-3 	-	0.657	1.000	1.000	264	0	8	8
R0[8,9]	0.980 	1.927E-3 	-	0.663	1.000	1.000	265	0	8	9
R0[8,10]	1.081 	1.826E-3 	-	0.624	1.000	1.000	266	0	8	10
R0[8,11]	1.080 	1.562E-3 	-	0.608	1.000	1.000	267	0	8	11
R0[8,12]	1.023 	1.556E-3 	-	0.607	1.000	1.000	268	0	8	12
R0[8,13]	1.031 	1.924E-3 	-	0.606	1.000	1.000	269	0	8	13
R0[8,14]	1.005 	2.107E-3 	-	0.630	1.000	1.000	270	0	8	14
R0[8,15]	1.035 	1.739E-3 	-	0.635	1.000	1.000	271	0	8	15
