# Note: Dates are *start* dates of applicability, i.e. they should be just
# before the flight series they apply to.
# Date   ch   g0           NP           a            PS           QOFF         QS           ISOFF1       ISOFF2       ISOFF3       ISOFF4       ISOFF5       ISOFF6       ISOFF7       ISOFF8       ISOFF9       ISOFF10      ISOFF11      ISOFF12      ISOFF13      ISOFF14      ISOFF15      ISOFF16      ISOFF17      ISOFF18      ISOFF19      ISOFF20      ISOFF21      ISOFF22      ISOFF23      ISOFF24      ISOFF25
# 1402
20181001 B2   0.082658703  14.33447079  764.13452    0.000558383  6.469935553  7.47e-06     1075170.935  1075061.342  1075084.812  1075098.552  1074826.712  1074852.311  1074765.563  1074795.415  1074795.63   1074555.762  1074740.712  1074641.147  1074612.813  1074635.664  1074446.366  1074754.532  1074652.239  1074628.416  1074605.232  1074402.559  1075062.656  1074916.465  1074856.349  1074820.512  1074586.009
# 1902
20190201 R105 0.117157064  14.3197815   422.6168457  0.000587551  6.16376676   1.54e-06     1150310.126  1150457.455  1150625.438  1150785.447  1150982.326  1149667.512  1149725.726  1149824.173  1149911.344  1150076.54   1149287.476  1149282.73   1149298.288  1149313.459  1149466.47   1149544.816  1149435.96   1149372.646  1149302.365  1149446.455  1150265.883  1150102.208  1149947.644  1149798.079  1149930.194
20190201 R130 0.117148027  14.38210218  421.7503189  0.000586676  6.564165731  1.76e-06     1150616.134  1150757.172  1150922.471  1151090.73   1151288.408  1149983.332  1150029.315  1150127.123  1150218.915  1150376.629  1149605.828  1149592.63   1149613.147  1149633.055  1149754.4    1149858.324  1149747.766  1149689.14   1149626.536  1149736.422  1150579.028  1150412.335  1150262.119  1150123.987  1150209.843
20190201 B1   0.082655379  13.72188917  816.9352228  0.000551677  6.774276919  1.11e-05     1075178.675  1075014.331  1075016.565  1075035.782  1074768.988  1074864.18   1074721.495  1074741.8    1074739.604  1074528.545  1074746.838  1074611.96   1074567.382  1074585.632  1074429.563  1074719.425  1074586.331  1074553.967  1074558.757  1074387.106  1074984.256  1074822.736  1074758.909  1074749.393  1074552.714
20190201 B2   0.082659093  14.19838289  757.7434231  0.000557996  6.488151169  7.44e-06     1075154.047  1075049.03   1075073.859  1075090.368  1074788.209  1074832.169  1074747.066  1074774.779  1074778.428  1074518.994  1074710.705  1074617.338  1074594.959  1074613.413  1074402.165  1074718.956  1074618.708  1074592.887  1074573.711  1074348.128  1075019.62   1074877.259  1074817.046  1074786.82   1074528.079
# 1904
20190401 R105 0.117160233  14.42771354  420.1868819  0.000587065  6.159833924  1.62e-06     1150939.672  1151084.73   1151261.394  1151416.396  1151612.851  1150294.336  1150358.926  1150453.038  1150541.932  1150696.325  1149920.993  1149919.76   1149933.735  1149949.333  1150068.841  1150192.555  1150088.879  1150026.291  1149946.435  1150044.501  1150929.43   1150771.204  1150614.86   1150458.786  1150532.643
20190401 R130 0.117149283  14.46357471  420.2011873  0.000587225  6.401686705  1.72e-06     1151280.5    1151415.636  1151587.728  1151747.691  1151947.599  1150641.519  1150695.074  1150785.882  1150881.659  1151028.924  1150266.728  1150258.948  1150277.898  1150300.017  1150397.698  1150532.854  1150426.173  1150366.454  1150300.534  1150376.622  1151264.022  1151103.389  1150958.626  1150811.27   1150849.616
20190401 B1   0.082652118  12.81692673  824.3806472  0.00054413   6.864172211  1.15e-05     1075561.948  1075433.879  1075444.976  1075466.382  1075128.37   1075238.822  1075134.348  1075159.635  1075163.836  1074890.264  1075117.794  1075019.632  1074989.824  1075010.045  1074814.32   1075076.747  1074980.231  1074965.853  1074972.122  1074761.133  1075344.975  1075211.838  1075153.35   1075152.222  1074920.156
20190401 B2   0.082660222  14.13414832  770.7876825  0.000557024  6.450851212  7.51e-06     1075387.096  1075340.924  1075361.5    1075356.575  1074964.75   1075092.978  1075046.589  1075077.869  1075066.833  1074720.834  1074978.788  1074923.829  1074905.858  1074910.693  1074627.981  1074981.167  1074924.93   1074894.226  1074866.01   1074589.043  1075269.988  1075169.062  1075106.865  1075081.374  1074752.452
# 1910
20191001 R105 0.117155401  14.33055303  423.5396599  0.000587017  6.08923982   1.59e-06     1150762.77   1150909.188  1151078.502  1151237.978  1151437.041  1150122.844  1150182.978  1150279.133  1150366.809  1150532.091  1149746.123  1149740.864  1149755.335  1149770.626  1149923.408  1150004.729  1149895.136  1149835.617  1149760.996  1149903.76   1150718.847  1150558.071  1150404.181  1150255.32   1150386.401
20191001 R130 0.117148405  14.37171999  425.9895003  0.000586802  6.184799788  1.66e-06     1151019.549  1151157.169  1151319.419  1151483.31   1151677.179  1150393.946  1150441.792  1150535.893  1150627.977  1150780.278  1150018.717  1150004.937  1150025.224  1150045.379  1150166.19   1150264.819  1150154.996  1150097.361  1150036.686  1150146.857  1150966.515  1150804.842  1150658.215  1150524.078  1150607.5
20191001 B1   0.082656415  13.60018232  788.9840593  0.000549333  6.723939522  1.13e-05     1075397.318  1075332.689  1075351.986  1075325.01   1074907.488  1075096.103  1075037.871  1075068.604  1075034.002  1074678.609  1074976.329  1074921.867  1074892.336  1074889.718  1074623.796  1074980.812  1074916.941  1074898.787  1074877.146  1074610.895  1075274.359  1075166.856  1075105.849  1075074.882  1074777.544
